Model/Dataset,actor,citeseer,cora,pubmed,webkb_cor,wn_chameleon,zinc
Exphormer,0.35768±0.00447,0.51167±0.00704,0.612±0.02128,0.69867±0.017,N/A,N/A,N/A±N/A
SGFormer,0.31952±0.00434,0.64667±0.00287,0.752±0.01233,0.742±0.01061,0.38739±0.01274,N/A,N/A
Graphormer,0.37566±0.01263,0.436±0.01395,0.43233±0.04554,N/A,N/A,N/A,N/A
NodeFormer,0.35219±0.01647,0.604±0.02889,0.66167±0.02656,0.70333±0.00953,N/A,N/A,N/A
GPS,0.36513±0.0,0.58767±0.0205,0.71567±0.00881,0.73267±0.01837,N/A,N/A,N/A
DIFFormer,0.35987±0.00813,0.624±0.0214,0.75467±0.00929,0.765±0.00589,N/A,N/A,N/A
SAN,N/A,N/A,0.54033±0.05399,N/A,N/A,0.39912±0.0,N/A±N/A
GPS+RWSE,0.35263±0.00323,0.57767±0.02281,0.67733±0.00873,N/A,N/A,0.48465±0.0,N/A±N/A
SpecFormer,N/A,N/A,0.52633±0.01389,N/A,N/A,N/A,N/A
