Model/Dataset,actor,citeseer,cora,pubmed,webkb_cor,wn_chameleon,zinc
Exphormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,1.82439±0.33094
SGFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A
Graphormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A,N/A
NodeFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
GPS,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
DIFFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
SAN,N/A,N/A,N/A±N/A,N/A,N/A,N/A±N/A,0.1341±0.00628
GPS+RWSE,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A±N/A,0.06814±0.00045
SpecFormer,N/A,N/A,N/A±N/A,N/A,N/A,N/A,N/A
