Model/Dataset,actor,citeseer,cora,pubmed,webkb_cor,wn_chameleon,zinc
Exphormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,4.7176±1.01884
SGFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A
Graphormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A,N/A
NodeFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
GPS,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
DIFFormer,N/A±N/A,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A
SAN,N/A,N/A,N/A±N/A,N/A,N/A,N/A±N/A,0.1855±0.0117
GPS+RWSE,N/A±N/A,N/A±N/A,N/A±N/A,N/A,N/A,N/A±N/A,0.02878±0.00174
SpecFormer,N/A,N/A,N/A±N/A,N/A,N/A,N/A,N/A
